"TÍTULO","TIPO","NÚMERO OFICIAL","EXERCÍCIO","ORGÃO","VALOR (R$)","SITUAÇÃO","INÍCIO","FIM"
"2560 - CT. UFC/FCPC - PROINFO 2010","CONTRATO","P14370/10-28","2010","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","","FINALIZADO","31/03/2015","31/03/2015"
"2585 - CV.FINEP/UFC/FCPC-CTINFRA 09","CONVÊNIO","01.10.0597.00","2015","FINEP - FINANCIADORA DE ESTUDOS E PROJETOS","6.445.930,00","EXECUÇÃO","01/12/2010","01/09/2017"
"2603 - CT -  UFC/FCPC - USO PEDAGOGICO DO LAPTOP EDUCACIONAL","CONTRATO","P20472/10-82","2010","UNIVERSIDADE FEDERAL DO CEARA","1.466.978,36","FINALIZADO","10/11/2010","26/11/2013"
"2607 - CT.BNDES/UFC/FCPC - CONSTRUÇÃO DO CPDM","CONTRATO","10.2.1320.1","2010","BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL - BNDES","25.489.000,00","EXECUÇÃO","01/12/2010","31/01/2017"
"2610 - CT -  UFC/FCPC - CURSOS DE GRADUACAO UAB 3º E 4º SEMESTRES","CONTRATO","P20467/10-42","2010","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","2.235.623,50","FINALIZADO","25/11/2010","24/11/2014"
"2619 - CT. UFC/FCPC - CURSOS DE GRADUACAO UAB - 5º E 6º SEMESTRES","CONTRATO","P20461/10-66","2016","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","2.456.328,00","FINALIZADO","25/11/2010","24/11/2014"
"2699 - BNB/FCPC- I SEMINÁRIO DE AUDIOVISUAL E DESENVOLVIMENTO SUSTENTAVEL","CONVÊNIO","2011/057","2011","BANCO DO NORDESTE DO BRASIL S.A","7.970.600,00","FINALIZADO","07/06/2011","07/09/2012"
"2700 - BNB/FCPC-UM MODELO DINAMICO PARA A ATIVIDADE INDUSTRIAL DO NORDESTE BRASILEIRO E SUAS INTERDEPENDÊNCIAS REGIONAIS E EXTERNA","CONVÊNIO","2011/201","2011","BANCO DO NORDESTE DO BRASIL S.A","1.100.000,00","FINALIZADO","15/06/2011","15/06/2012"
"2702 - BNB/FCPC-SEMANA GOURMET CASCAVEL 2011","CONVÊNIO","2011/058","2011","BANCO DO NORDESTE DO BRASIL S.A","96.251,00","FINALIZADO","24/06/2011","24/03/2012"
"2703 - BNB/FCPC-ENCONTRO ENOGASTRONOMICO BRASIL PORTUGAL","CONVÊNIO","2011-198","2011","BANCO DO NORDESTE DO BRASIL S.A","103.534,00","FINALIZADO","24/06/2011","24/03/2012"
"2704 - BNB/FCPC/UFC - UM ESTUDO O IMPACTO DO SISTEMA TRIBUTÁRIO BRASILEIRO NA DISTRIBUIÇÃO DE RENDA NO NORDESTE DO PAÍS","CONVÊNIO","2011/059","2011","BANCO DO NORDESTE DO BRASIL S.A","35.190,00","FINALIZADO","20/06/2011","12/03/2012"
"2705 - BNB/FCPC/UFC - I CICLO DE DEBATES - OS NOVOS RUMOS DA INDÚSTRIA NAVAL BRASILEIRA","CONVÊNIO","NÃO SE APLICA","2011","BANCO DO NORDESTE DO BRASIL S.A","79.220,00","FINALIZADO","15/06/2011","15/08/2012"
"2706 - BNB/FCPC/UFC-AÇÕES INTEGRADAS DE APOIO À EXTENSÃO E PESQUISA(LEPP) DO LABORATORIO DE ESTUDOS DE POLÍTICAS PÚBLICAS (LEPP)","CONVÊNIO","2010/060","2011","BANCO DO NORDESTE DO BRASIL S.A","44.127,00","FINALIZADO","15/06/2011","15/12/2012"
"2707 - BNB/FCPC - REDE DE COSTURA","CONVÊNIO","","2011","BANCO DO NORDESTE DO BRASIL S.A","69.300,00","FINALIZADO","28/06/2011","28/06/2012"
"2708 - BNB/FCPC - PORTAL NORDESTE 2014","CONVÊNIO","2011/208","2011","BANCO DO NORDESTE DO BRASIL S.A","73.332,00","FINALIZADO","28/06/2011","28/12/2012"
"2709 - BNB/FCPC -  I CICLO DE ENCONTRO DA PESCA ARTESANAL E AQUICULTURA FAMILIAR DO ESTADO DO CEARÁ - MÓDULO ACARAÚ","CONVÊNIO","2011/216","2011","BANCO DO NORDESTE DO BRASIL S.A","84.420,00","FINALIZADO","08/07/2011","08/04/2012"
"2710 - BNB/FCPC- I CICLO DE ENCONTRO PESCA ARTESANAL E AQUICULTURA/CAMOCIM","CONVÊNIO","","2011","BANCO DO NORDESTE DO BRASIL S.A","86.700,00","FINALIZADO","08/07/2011","08/04/2012"
"2711 - BNB/FCPC- X CURSO DA JUVENTUDE DO CAMPO: 10 ANOS DE LUTA, FORMAÇÃO E ORGANIZAÇÃO","CONVÊNIO","","2011","BANCO DO NORDESTE DO BRASIL S.A","40.000,00","FINALIZADO","19/07/2011","19/04/2012"
"2720 - BNB/FCPC- I CICLO DE ENCONTRO PESCA ARTESANAL E AQUICULTURA/ICAPUÍ","CONVÊNIO","","2011","BANCO DO NORDESTE DO BRASIL S.A","84.770,00","FINALIZADO","27/07/2011","27/04/2012"
"2733 - CV - BNB/FCPC - VII ENCONTRO ECONOMIA DO CEARA EM DE","CONVÊNIO","2011/088","2011","BANCO DO NORDESTE DO BRASIL S.A","39.900,00","FINALIZADO","13/09/2011","13/06/2012"
"2751 - BNB/FCPC - I CICLO DE ENCONTROS DA PESCA ARTESANAL E AQUICULTURA FAMILIAR DO ESTADO DO CEARÁ - MÓDULO PACAJUS","CONVÊNIO","2011/295","2011","BANCO DO NORDESTE DO BRASIL S.A","71.000,00","FINALIZADO","14/09/2011","14/06/2012"
"2752 - BNB/FCPC I CICLO DE ENCONTROS PESCA ARTESANAL,AQUIC. FAMILIAR MUNICIPIO DE PACATUBA","CONVÊNIO","2011/299","2011","BANCO DO NORDESTE DO BRASIL S.A","71.780,00","FINALIZADO","14/09/2011","14/06/2012"
"2753 - BNB/FCPC - X CONGRESSO DE HISTORIA DA EDUCAÇÃO DO CEARÁ (XCHEC)","CONVÊNIO","2011/090","2011","BANCO DO NORDESTE DO BRASIL S.A","36.759,00","FINALIZADO","20/09/2011","20/06/2012"
"2755 - BNB/FCPC-OPORTUNIDADES, INTERCÂMBIOS, NEGÓCIOS COM PAÍSES DE L.PORTUGUESA","CONVÊNIO","2011/089","2011","BANCO DO NORDESTE DO BRASIL S.A","78.592,00","FINALIZADO","23/09/2011","23/06/2012"
"2758 - BNB/FCPC-I CICLO ENCONTROS PESCA ARTESANAL,AQUICULTURA FAMILIAR MUNICIPIO DE TRAIRI","CONVÊNIO","2011/209","2011","BANCO DO NORDESTE DO BRASIL S.A","80.310,00","FINALIZADO","11/10/2011","11/07/2012"
"2760 - BNB/FC-I CICLO ENCONTRO PESCA ARTESANAL,AQUICULTURA FAMILIAR DO MUNIJCIPIO DE  PARAIPABA","CONVÊNIO","2011/308","2011","BANCO DO NORDESTE DO BRASIL S.A","78.150,00","FINALIZADO","11/10/2011","11/07/2012"
"2766 - BNB/FCPC-AVALIAÇÃO IMPACTO MACROECONÔMICO DIVERSOS PROGRAMAS  FINANCIADOS PELO FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORDESTE(FNE)","CONVÊNIO","2011/230","2011","BANCO DO NORDESTE DO BRASIL S.A","14.600,00","FINALIZADO","20/09/2011","20/02/2012"
"2767 - BNB/FCPC ENCONTRO DA CARCINICULTURA DO VALE DO ACARAÚ 2011","CONVÊNIO","","2011","BANCO DO NORDESTE DO BRASIL S.A","79.800,00","FINALIZADO","08/11/2011","08/08/2012"
"2768 - CV.BNB/FCPC - SEMANA GOURMET CAUCAIA 2011","CONVÊNIO","2011/102","2011","BANCO DO NORDESTE DO BRASIL S.A","69.914,00","FINALIZADO","10/04/2011","04/07/2012"
"2769 - CV.BNB/FCPC - DESENVOLVIMENTO EM HOSPITALIDADE PARA O MUNICIPIO DE ITAITINGA","CONVÊNIO","2011/102","2011","BANCO DO NORDESTE DO BRASIL S.A","65.510,00","FINALIZADO","21/11/2011","21/08/2012"
"2776 - TERMO DE COOP.PETROBRAS/UFC/FCPC PROJETO GEOFMEL","TERMO DE COOPERAÇÃO","0050.0071937.11.9","2015","PETROLEO BRASILEIRO S/A PETROBRAS","3.329.269,15","FINALIZADO","20/12/2011","17/12/2016"
"2779 - BNB/FCPC/UFC - LIVRO ANTÔNIO BANDEIRA E A POÉTICA DAS CORES","CONVÊNIO","2011/133","2011","BANCO DO NORDESTE DO BRASIL S.A","27.300,00","FINALIZADO","08/12/2011","08/09/2012"
"2784 - BNB/FCPC-DIFUSÃO DA PRODUÇÃO CIENTIFICA DA UFC - FASE III","CONVÊNIO","2011/390","2011","BANCO DO NORDESTE DO BRASIL S.A","97.650,00","FINALIZADO","08/12/2011","08/12/2012"
"2787 - CT - UFC/FCPC – CURSO DE PSICOLOGIA HOSPITALAR – TURMA VII","CONTRATO","P28195/11-19","2012","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","53.943,20","FINALIZADO","10/02/2012","09/02/2013"
"2791 - CT -  UFC/FCPC – IMPLANTAÇÃO DE OFERTA DOS CURSOS DE GRADUAÇÃO DA UAB/UFC, 1º E 2º SEMESTRES 2011.1, PARTE I","CONTRATO","P12648/11-12","2012","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","2.949.753,60","FINALIZADO","23/06/2011","22/06/2015"
"2792 - CV. BNB/FCPC - III SEMANA DA ECONOMIA - ECONOMIA E SUAS INTERFACES","CONVÊNIO","2011/137","2011","BANCO DO NORDESTE DO BRASIL S.A","13.524,00","FINALIZADO","21/10/2011","21/07/2012"
